Date,Flow,Temperature,DO
9/9/2013,2130,19.5,7.7
9/10/2013,2050,19.5,8
9/11/2013,1970,19.5,8.1
9/12/2013,1890,19.5,8
9/13/2013,1830,19.2,7.76
9/14/2013,1850,19.2,7.82
9/15/2013,1950,19.2,7.85
9/16/2013,2080,18.7,7.8
9/17/2013,2180,18.7,8
9/18/2013,2250,17.5,8.2
9/19/2013,2380,17,8.1
9/20/2013,2570,17,8.5
9/21/2013,2920,17,8.4
9/22/2013,3390,17,8.35
9/23/2013,3810,16.5,8.4
9/24/2013,4080,16.5,8.2
9/25/2013,4180,16,10.2
9/26/2013,4090,16,8.6
9/27/2013,3810,15.7,8.9
9/28/2013,3460,15.5,8.9
9/29/2013,3120,15.5,9
9/30/2013,2970,15,9.1
10/1/2013,2830,15,8.8
10/2/2013,2770,14,8.9
10/3/2013,2750,14,9.1
10/4/2013,2700,13,9.4
10/5/2013,2570,13,9.4
10/6/2013,2460,12.8,9.3
10/7/2013,2420,13,9.5
10/8/2013,2350,13,9.4
10/9/2013,2230,13.2,9.4
10/10/2013,2130,13.2,9.3
10/11/2013,2080,13.5,9.3
10/12/2013,2050,13.5,9.5
10/13/2013,2050,14,9.5
10/14/2013,2100,14,9.5
10/15/2013,2290,14,9.3
10/16/2013,2510,14.5,9.2
10/17/2013,2660,14,9.2
10/18/2013,2750,13.5,9.4
10/19/2013,2780,14,9.4
10/20/2013,2730,13,9.5
10/21/2013,2610,13,9.5
10/22/2013,2580,13,9.7
10/23/2013,2620,13,10
10/24/2013,2590,13,10
10/25/2013,2520,14,9.6
10/26/2013,2490,13.5,9.8
10/27/2013,2470,13.5,9.6
10/28/2013,2440,14,9.9
10/29/2013,2420,14,9.2
10/30/2013,2380,14,9.5
10/31/2013,2330,14,9.3
11/1/2013,2320,13.5,9.3
11/2/2013,2300,13.5,9.4
11/3/2013,2300,13.5,9.5
11/4/2013,2300,13.5,9.4
11/5/2013,2300,13,9.6
11/6/2013,2290,13,9.4
11/7/2013,2290,13,9.5
11/8/2013,2360,12,9.7
11/9/2013,2420,12,9.3
11/10/2013,2520,11.5,9.6
11/11/2013,2750,11.2,9.6
11/12/2013,3030,11,9.9
11/13/2013,3230,11,10
11/14/2013,3420,10.6,9.9
11/15/2013,3620,10.5,10.2
11/16/2013,3690,9.6,10.4
11/17/2013,3630,9.5,10.3
11/18/2013,3510,9.5,10.4
11/19/2013,3430,9.3,10.6
11/20/2013,3240,9.3,10.8
11/21/2013,3020,8.8,10.8
11/22/2013,2870,7.4,10.7
11/23/2013,2840,7.2,10.4
11/24/2013,2800,7.2,10.4
11/25/2013,2790,7.2,10.7
11/26/2013,2830,7.2,10.8
11/27/2013,2990,7,11.1
11/28/2013,3200,7,11.2
11/29/2013,3440,6.4,11.3
11/30/2013,3600,6.4,11.5
12/1/2013,3540,5.7,11.4
12/2/2013,3370,5.5,11.6
12/3/2013,3200,5.2,11.9
12/4/2013,3000,4.8,11.8
12/5/2013,2800,4.6,11.9
12/6/2013,2670,4.2,11.1
12/7/2013,2500,4,11.3
12/8/2013,2430,3.9,12.3
12/9/2013,2420,3.7,12.3
12/10/2013,2410,3.8,12.3
12/11/2013,2380,3.6,12.4
12/12/2013,2340,3.5,12.3
12/13/2013,2300,3.5,12.3
12/14/2013,2320,3,12.3
12/15/2013,2370,3.2,12.3
12/16/2013,2450,3.2,12.3
12/17/2013,2490,3.1,12.3
12/18/2013,2470,2.9,12.4
12/19/2013,2400,3.1,12.3
12/20/2013,2320,3,12.5
12/21/2013,2220,2.9,12.45
12/22/2013,2180,3,12.45
12/23/2013,2130,3,12.4
12/24/2013,2080,2.9,12.6
12/25/2013,2050,3,12.6
12/26/2013,2010,3,12.71
12/27/2013,1990,3.2,12.3
12/28/2013,1980,3.4,12.4025
12/29/2013,2010,3.6,12
12/30/2013,2000,3.7,12
12/31/2013,2090,3.8,12
1/1/2014,2360,5,12
1/2/2014,2360,5,11.9
1/3/2014,2330,5,11.8
1/4/2014,2300,5.3,11.825
1/5/2014,2300,5.3,11.8
1/6/2014,2250,5.4,11.8
1/7/2014,2250,5.4,11.8
1/8/2014,2250,5.5,11.9
1/9/2014,2320,5.5,11.7
1/10/2014,2340,5.5,12
1/11/2014,2380,5.5,11.925
1/12/2014,2380,5.5,11.875
1/13/2014,2390,5.4,11.9
1/14/2014,2350,5.4,11.8
1/15/2014,2310,5.4,11.9
1/16/2014,2260,5.2,11.8
1/17/2014,2270,5.3,11.9
1/18/2014,2270,5.5,11.875
1/19/2014,2260,5.6,12.025
1/20/2014,2300,6,12.1
1/21/2014,2370,5.8,11.8
1/22/2014,2360,5.7,11.8
1/23/2014,2360,6.1,11.8
1/24/2014,2390,6,11.7
1/25/2014,2360,5.2,12
1/26/2014,2380,4.8,12
1/27/2014,2430,4.7,12.4
1/28/2014,2450,4.8,12.3
1/29/2014,2490,3,12.1
1/30/2014,2470,3,12.5
1/31/2014,2520,2.3,12.9
2/1/2014,2480,1.8,12.8
2/2/2014,2460,1.2,13.45
2/3/2014,2400,1.5,13.5
2/4/2014,2320,1.9,13.3
2/5/2014,2340,1.8,13.4
2/6/2014,2400,2,13.7
2/7/2014,2420,2,13.2
2/8/2014,2440,2.7,13.9
2/9/2014,2380,2.9,13.1
2/10/2014,2370,3.2,12.8
2/11/2014,2430,3.2,12.8
2/12/2014,2560,4.7,12.9
2/13/2014,2600,4.8,12.5
2/14/2014,2700,4.6,12.5
2/15/2014,2870,4.8,12.5
2/16/2014,3150,5.1,12.5
2/17/2014,3140,5.2,12.5
2/18/2014,3170,5.9,11.7
2/19/2014,3070,6,12
2/20/2014,3000,6,11.6
2/21/2014,3020,6.2,11.6
2/22/2014,3060,6.2,11.6
2/23/2014,3060,6.3,11.325
2/24/2014,3040,6.4,11.3
2/25/2014,3120,6.2,11.4
2/26/2014,3220,6.3,11.2
2/27/2014,3190,6.6,11.3
2/28/2014,3110,6.7,11.3
3/1/2014,3000,7,11.3
3/2/2014,2920,6.8,11.225
3/3/2014,2820,7.2,11.2
3/4/2014,2720,7.2,11.3
3/5/2014,2610,7.8,11.4
3/6/2014,2510,7.4,11.8
3/7/2014,2490,8,11.8
3/8/2014,2440,8,11.8
3/9/2014,2410,8,12.4
3/10/2014,2430,8,12.3
3/11/2014,2400,8.2,12.7
3/12/2014,2360,8.4,13.7
3/13/2014,2310,8.5,14.1
3/14/2014,2340,8.6,14.6
3/15/2014,2320,9,14.475
3/16/2014,2260,9.3,12.95
3/17/2014,2250,9.7,12.9
3/18/2014,2280,10,13.1
3/19/2014,2280,10.2,13.3
3/20/2014,2300,10.1,12.1
3/21/2014,2470,10.3,12.1
3/22/2014,2630,10.4,12.2
3/23/2014,2640,11.3,11.9
3/24/2014,2660,10,11.3
3/25/2014,2660,10.5,10.8
3/26/2014,2620,10.7,10.8
3/27/2014,2670,11.2,10.6
3/28/2014,2740,11.6,10.4
3/29/2014,2770,11.2,11.2
3/30/2014,2830,11.4,11.2
3/31/2014,2790,11.5,11
4/1/2014,2670,11.8,11.2
4/2/2014,2570,12,11.1
4/3/2014,2550,12,11.4
4/4/2014,2500,12,11.1
4/5/2014,2460,13,11.175
4/6/2014,2480,12,10.525
4/7/2014,2460,15.3,10.5
4/8/2014,2490,15,10.6
4/9/2014,2470,14,10.4
4/10/2014,2480,14,10
4/11/2014,2480,13.5,10
4/12/2014,2510,13.4,10
4/13/2014,2530,13.4,10.4
4/14/2014,2580,13.8,10.2
4/15/2014,2630,13.2,10.1
4/16/2014,2650,13.1,10.4
4/17/2014,2610,12.3,10.1
4/18/2014,2520,12,10.1
4/19/2014,2450,12.8,10.03
4/20/2014,2420,13.2,10.03
4/21/2014,2450,13.7,10.03
4/22/2014,2400,14.2,10.2
4/23/2014,2410,14.5,10.3
4/24/2014,2360,15,10
4/25/2014,2370,14.5,9.3
4/26/2014,2490,14.5,9.4
4/27/2014,2480,14.5,9.3
4/28/2014,2510,14.8,9.1
4/29/2014,2560,15.2,9.2
4/30/2014,2610,15.2,9.1
5/1/2014,2660,15.4,9.1
5/2/2014,2680,15.5,9.1
5/3/2014,2740,16.2,9.4
5/4/2014,2870,15.5,9
5/5/2014,2880,15.5,8.8
5/6/2014,2940,16,8.7
5/7/2014,3030,16,8.9
5/8/2014,3080,16.7,8.6
5/9/2014,3080,16.9,8.9
5/10/2014,3040,17.2,9.1
5/11/2014,3000,17.2,9.3
5/12/2014,2920,17,9.4
5/13/2014,2920,17,9.6
5/14/2014,2960,17.2,9.5
5/15/2014,2990,17.4,9.4
5/16/2014,3230,17.2,9
5/17/2014,3290,17.4,9.3
5/18/2014,3460,17,9.2
5/19/2014,3750,18,8.9
5/20/2014,4190,20,9.1
5/21/2014,4560,19.2,8.9
5/22/2014,4780,19,8.7
5/23/2014,4930,16,8.7
5/24/2014,5010,16,8.6
5/25/2014,5020,16,8.5
5/26/2014,4970,17,8.4
5/27/2014,4830,17.5,8.2
5/28/2014,4710,17.5,7.9
5/29/2014,4480,18,7.8
5/30/2014,4270,18,7.8
5/31/2014,4150,18.2,7.8
6/1/2014,4310,18.2,7.8
6/2/2014,4580,19,7.9
6/3/2014,4830,19,7.9
6/4/2014,4970,19.2,8.1
6/5/2014,4910,18,8.4
6/6/2014,4600,18,8.5
6/7/2014,4240,18,8.4
6/8/2014,3840,18.7,8.1
6/9/2014,3610,19,7.7
6/10/2014,3460,20.3,7.1
6/11/2014,3300,20.6,7.1
6/12/2014,3120,20.2,6.9
6/13/2014,3010,22.2,6.9
6/14/2014,2940,23,6.9
6/15/2014,2930,23.1,6.725
6/16/2014,3020,22.3,6.7
6/17/2014,3130,22,6.8
6/18/2014,3130,22.1,7
6/19/2014,3030,21,7.1
6/20/2014,2850,21,7.3
6/21/2014,2670,21.3,7.25
6/22/2014,2540,21.5,7.675
6/23/2014,2380,22,7.7
6/24/2014,2260,22.5,7.6
6/25/2014,2270,21.3,7.5
6/26/2014,2270,21.4,7.5
6/27/2014,2290,22,7.4
6/28/2014,2310,22,7.4
6/29/2014,2340,22.1,7.6
6/30/2014,2410,22.2,7.6
7/1/2014,2410,21.4,7.7
7/2/2014,2440,21.5,7.5
7/3/2014,2450,22,7.7
7/4/2014,2510,22,7.8
7/5/2014,2690,22,8
7/6/2014,2770,22.3,7.9
7/7/2014,2800,22.5,7.8
7/8/2014,2760,23,7.5
7/9/2014,2690,23.3,7.5
7/10/2014,2600,23.4,7.3
7/11/2014,2500,23.1,7.2
7/12/2014,2470,22,7.4
7/13/2014,2570,22,7.4
7/14/2014,2700,22,7.4
7/15/2014,2760,22.3,7.5
7/16/2014,2800,22.1,7.3
7/17/2014,2790,23,7.4
7/18/2014,2830,23,7.5
7/19/2014,2840,23.2,7.9
7/20/2014,2810,23.7,7.7
7/21/2014,2760,24,7.8
7/22/2014,2650,24,7.7
7/23/2014,2560,24,7.7
7/24/2014,2460,24,7.4
7/25/2014,2400,24,7.4
7/26/2014,2450,23,8
7/27/2014,2660,23,7.9
7/28/2014,2920,24.2,7.6
7/29/2014,2930,24,7.1
7/30/2014,2860,24.1,7.2
7/31/2014,2700,24,7.4
8/1/2014,2660,24,7.5
8/2/2014,2790,24,7.6
8/3/2014,3070,24,7.4
8/4/2014,3530,24.2,7.3
8/5/2014,4030,23.7,7.1
8/6/2014,4450,24,7
8/7/2014,4560,24,7
8/8/2014,4540,24,7.2
8/9/2014,4430,23.7,7.2
8/10/2014,4350,23,7.4
8/11/2014,4190,23,7.1
8/12/2014,3920,23,7.2
8/13/2014,3640,23,7.4
8/14/2014,3400,23.3,8.6
8/15/2014,3320,23,7.6
8/16/2014,3350,23,7.1
8/17/2014,3620,22.5,7.4
8/18/2014,4050,22.4,7.5
8/19/2014,4370,21.4,7.6
8/20/2014,4420,21,7.5
8/21/2014,4350,21,7.5
8/22/2014,4170,20.8,7.6
8/23/2014,3940,20.4,7.9
8/24/2014,3760,20.2,7.8
8/25/2014,3610,20.2,7.8
8/26/2014,3480,20,7.9
8/27/2014,3410,20,7.9
8/28/2014,3320,20,7.9
8/29/2014,3250,19,8.1
8/30/2014,3180,19,8.3
8/31/2014,3060,19,8.3
9/1/2014,3010,19.3,8
9/2/2014,3040,19.2,8.2
9/3/2014,3120,18.8,8.1
9/4/2014,3350,18.6,8.2
9/5/2014,3870,18.7,8.2
9/6/2014,4360,18,8.1
9/7/2014,4790,18.2,8.1
9/8/2014,5060,18,8
9/9/2014,5160,17.8,8.1
9/10/2014,5060,17.9,8
9/11/2014,4940,18.2,8
9/12/2014,4730,18,7.9
9/13/2014,4510,18,7.8
9/14/2014,4350,18.2,7.9
9/15/2014,4290,18,7.9
9/16/2014,4350,18,7.7
9/17/2014,4550,18,7.9
9/18/2014,4870,17.8,7.9
9/19/2014,5200,17.4,7.6
9/20/2014,5480,17.5,7.4
9/21/2014,5690,17.3,7.3
9/22/2014,5940,17.2,7.3
9/23/2014,6100,17.1,7.5
9/24/2014,6090,16.9,7.3
9/25/2014,5870,16.8,7.1
9/26/2014,5630,15.5,7.7
9/27/2014,5400,15,7.6
9/28/2014,5170,15,7.9
9/29/2014,4950,16,8
9/30/2014,4660,16,8.1
10/1/2014,4380,16,8.1
10/2/2014,4090,16,8.4
10/3/2014,3760,16,8.5
10/4/2014,3520,15.5,8.3
10/5/2014,3380,15,8.5
10/6/2014,3380,15,8.5
10/7/2014,3410,14.5,8.8
10/8/2014,3370,14,8.8
10/9/2014,3210,15,8.9
10/10/2014,3070,15.5,9.1
10/11/2014,2960,15.5,8.8
10/12/2014,2870,16,8.8
10/13/2014,2750,16,8.6
10/14/2014,2590,16.7,8.7
10/15/2014,2560,16.5,8.7
10/16/2014,2570,16.2,8.6
10/17/2014,2520,16.2,8.4
10/18/2014,2500,16.4,8.5
10/19/2014,2500,16.4,8.6
10/20/2014,2460,16.2,8.5
10/21/2014,2460,16.2,8.5
10/22/2014,2480,16,8.7
10/23/2014,2530,16,9.2
10/24/2014,2610,14.8,9
10/25/2014,2860,14,8.9
10/26/2014,3370,13.7,9.1
10/27/2014,3980,13,8.8
10/28/2014,4560,12.2,9.2
10/29/2014,4970,12.1,9.1
10/30/2014,5150,12.1,9.5
10/31/2014,5230,12.3,9.5
11/1/2014,5170,12.3,9.6
11/2/2014,5030,10.6,9.7
11/3/2014,4790,10.2,9.6
11/4/2014,4440,10.2,9.7
11/5/2014,4100,10,9.7
11/6/2014,3850,10,10.2
11/7/2014,3700,10.4,10
11/8/2014,3600,10,9.8
11/9/2014,3560,10,9.8
11/10/2014,3640,10,9.8
11/11/2014,3780,11,9.8
11/12/2014,3940,11,9.8
11/13/2014,4020,11,9.8
11/14/2014,4010,11,9.8
11/15/2014,3980,11,9.7
11/16/2014,3900,11,9.8
11/17/2014,3800,11,9.8
11/18/2014,3650,11,9.8
11/19/2014,3490,10.2,9.9
11/20/2014,3350,10,9.96
11/21/2014,3260,10,9.9
11/22/2014,3310,9.5,10.2
11/23/2014,3400,9.5,10.4
11/24/2014,3490,9,10.5
11/25/2014,3530,9,10.3
11/26/2014,3500,8.5,10.5
11/27/2014,3400,8,10.5
11/28/2014,3280,7.6,10.8
11/29/2014,3100,7.5,10.9
11/30/2014,2990,7.5,11.1
12/1/2014,3000,7.4,11.1
12/2/2014,2910,7,10.9
12/3/2014,2850,7,11
12/4/2014,2810,6.2,11.2
12/5/2014,2840,6,11.3
12/6/2014,2900,6,11.275
12/7/2014,2920,6.1,11.375
12/8/2014,2960,6.3,11.4
12/9/2014,2980,6.3,11.3
12/10/2014,3020,6.2,11.4
12/11/2014,3060,6.2,11.3
12/12/2014,3140,6,11.3
12/13/2014,3180,5.2,11.3
12/14/2014,3140,5.1,11.075
12/15/2014,3100,5.1,11
12/16/2014,3040,5,11.3
12/17/2014,2920,5.3,11.6
12/18/2014,2820,5.3,11.5
12/19/2014,2730,5.5,11.4
12/20/2014,2690,5.3,11.425
12/21/2014,2680,5.4,11.55
12/22/2014,2710,5.6,11.5
12/23/2014,2750,5.8,11.7
12/24/2014,2840,5.9,11.7
12/25/2014,2960,5.7,11.7
12/26/2014,3020,6,11.5
12/27/2014,2960,5.8,11.55
12/28/2014,2930,5.5,11.7
12/29/2014,2800,5,11.7
12/30/2014,2700,3.8,11.7
12/31/2014,2620,3.2,12.7
1/1/2015,2560,2.8,12.7
1/2/2015,2550,2.5,12.7
1/3/2015,2530,2.2,12.7
1/4/2015,2480,2.1,13.025
1/5/2015,2430,2,12.9
1/6/2015,2400,1.9,13.4
1/7/2015,2420,1.9,13.4
1/8/2015,2700,2,13.1
1/9/2015,2990,1.9,13.2
1/10/2015,3220,2,13.175
1/11/2015,3350,2.1,12.675
1/12/2015,3340,2.2,12.7
1/13/2015,3430,2.3,12.6
1/14/2015,3830,2.6,12.7
1/15/2015,4330,2.7,12.6
1/16/2015,4750,2.4,13.1
1/17/2015,5020,3,12.975
1/18/2015,5110,2,12.075
1/19/2015,5160,4,12.1
1/20/2015,5110,4.7,12
